Academic Year,Term,Subject,Course No.,Course Title,Instructor,GPA,A (%),A- (%),B+ (%),B (%),B- (%),C+ (%),C (%),C- (%),D+ (%),D (%),D- (%),F (%),Withdraws,Graded Enrollment,CRN,Credits
"2024-25","Fall","MSE","3324","Elementary Metal Casting Lab","Druschitz","3.14","28.6","0","14.3","42.9","0","0","0","14.3","0","0","0","0","0","7","88127","  1"
"2024-25","Fall","AOE","4205","Exper for Ocean Vehicle Design","Alexander","2.94","0","14.3","42.9","28.6","0","0","0","0","0","14.3","0","0","0","7","80470","  1"
"2024-25","Fall","SBIO","1004","Explorations in SBIO","Winans","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","89593","  1"
"2024-25","Fall","FST","4534","Food Chemistry Lab","Eifert","3.71","85.7","0","0","0","0","0","14.3","0","0","0","0","0","0","7","85798","  1"
"2024-25","Fall","SPES","5004","Graduate Seminar Plant Env Sci","Beers","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","89835","  1"
"2024-25","Fall","CHEM","2974","Independent Study","Wall","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","82922","  1"
"2024-25","Fall","MUS","3314","Instrumental Ensemble Music","Bean","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","88272","  1"
"2024-25","Fall","MUS","3314","Instrumental Ensemble Music","Irrera","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","88279","  1"
"2024-25","Fall","MATH","2644","Mathematics Tutoring","Hicks","3.9","85.7","0","14.3","0","0","0","0","0","0","0","0","0","1","7","87211","  1"
"2024-25","Fall","NSEG","5944","Nuclear Eng Graduate Seminar","Haghighat","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","88574","  1"
"2024-25","Fall","IDS","3204","TS: Typography","Dorsa","3.91","71.4","28.6","0","0","0","0","0","0","0","0","0","0","0","7","86493","  1"
"2024-25","Fall","DASC","4664","Translating Dairy Science","Cockrum","3.81","85.7","0","0","0","14.3","0","0","0","0","0","0","0","0","7","83650","  1"
"2024-25","Fall","MUS","2515","Vocal Diction","Cowan","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","90928","  1"
"2024-25","Fall","MUS","2214","Class Applied Piano","Gonzales","3.61","50","0","37.5","12.5","0","0","0","0","0","0","0","0","0","8","88226","  1"
